sentimen,tweet,tweet_preprocess
negatif,Sy juga mau mengeluh pak Abdillah.. sejak presiden Jokowi pacar sy makin tua aja penampilannya... Kebijakan pak Jokowi tdk berpihak kepada kami yg lagi pacaran... MudahÂ² ok ngOCEh nya pak sandi bisa mengatasi masalah penuaan pacar sy...harga kosmetik mahal semua..,sy keluh abdillah presiden jokowi pacar sy tua aja tampil bijak jokowi tdk pihak yg pacar mudah ok ngoceh nya sandi atas tua pacar sy harga kosmetik mahal
netral,Mau nanya Kan kulihat Prabowo itu ahli militer dan Sandi ahli ekonomi. Boleh ga aku cucuk dua02nya,nanya lihat prabowo ahli militer sandi ahli ekonomi ga cucuk dua
positif,Perbedaan nya di masa depan adalah kebijakan SBY tinggallah hanya sebuah catatan histori di masa lalu. sedangkan Jokowi memberikan legacy ekonomi dan pembangunan untuk generasi2 selanjutnya #Jokowi,beda nya bijak sby tinggal catat histori jokowi legacy ekonomi bangun generasi
positif,"Saat ini hanya 2 pemimpn aktif yg tidak mau di gaji : Paus Fransiskus dan Donald Trump, Inshaa Allah Prabowo-Sandi menyusul..#YourTurnBro",pemimpn aktif yg gaji paus fransiskus donald trump inshaa allah prabowo sandi susul
positif,Saya dan saudara saudara saya sebangsa dan setanah air juga bangga MENJADI INDONESIA. Negeri indah permai kaya ragam budaya adat istiadat yg dikagumi dunia. Harta tak ternilai harganya walau dinilai dengan segunung emas sekalipun...,saudara saudara bangsa tanah air bangga indonesia negeri indah permai kaya ragam budaya adat istiadat yg kagum dunia ha a nilai harga nilai gunung emas
negatif,Trus elo mau nudih2 yg fitnah2 dari pqk @jokowi yaa....woii...gak mikir ente hidupi kasih mkn anak binimu fan hidupi kluarga2 ente semua dari gaji uang rakyat..krja ente cuma teriak2 demi belain si bosmu tnpa mikir reputasi hasil kerja halal apa haram ente embat..!!!,trus elo nudih yg fitnah pqk jokowi yaa woii gak mikir ente hidup kasih mkn anak bini fan hidup kluarga ente gaji uang rakyat krja ente teriak bain si bos tnpa mikir reputasi hasil kerja halal haram ente embat
negatif,"Haha dungu lu, Prabowo mah ikhlas, gaji aja diberikan kepada negara bila terpilih",haha dungu lu prabowo mah ikhlas gaji aja negara pilih
netral,"Prabowo Janji Pertumbuhan Ekonomi 8%, Rizal Ramli Jelaskan Caranya  https://tirto.id/dl7qÂ  lewat @tirtoid Cc @RamliRizal",prabowo janji pe umbuhan ekonomi rizal ramli https ti o id dlq ti oid cc ramlirizal
negatif,"Jokowi jg punya sejarah yg gk bs d hapus Contoh :naikin listrik, sembako, bbm, gaji pns cm naik 5% itu pun jelas pilpres, 4x ga dtg k acara PBB, di sebut sm menterinya presiden grusak grusuk, janji membebaskn abubakar ba'asyir malah gajd,90% asn jual beli jabatan, kasus novel dll",jokowi jg sejarah yg gk bs d hapus contoh naikin listrik sembako bbm gaji pns cm pilpres x ga dtg k acara pbb sm menteri presiden grusak grusuk janji membebaskn abubakar ba asyir gajd asn jual beli jabat novel dll
positif,Presiden Jokowi kebijakannya dalam anggaran 'kue' pembangunan ekonomi lebih merata. beliau mengurangi subsidi untuk kepentingan ekonomi lain yg lebih fundamental yaitu infrastruktur #OpportunityCost,presiden jokowi bijak anggar kue bangun ekonomi rata beliau kurang subsidi penting ekonomi yg fundamental infrastruktur
netral,"Dukung Prabowo, Dahlan Iskan Sebut Jokowi Gagal Penuhi Janjinya di Bidang Ekonomi  https://wp.me/p4Pxdq-1nOWÂ  Cc @RamliRizal",dukung prabowo dahlan iskan jokowi gagal penuh janji bidang ekonomi https wp me ppxdq now cc ramlirizal
negatif,Jika di lihat di awal pemerintahan pak sby.. Tahun 2005 pertumbuhan perekonomian kita mengalami hal yangenggembirakan yaitu naik 5.7 %... Nah jokowi janji 7%... Nyatanya???.. Ini bisa di simpulkan dia asal buat janji... Ketika tidak tercapai.. Alasan ekonomi makro,lihat perintah sby pe umbuhan ekonomi alami yangenggembirakan jokowi janji simpul janji capai alas ekonomi makro
netral,"Prabowo : Ekonomi RI Salah Arah, Karena Salah Presiden-Presiden Sebelum Jokowi  https://www.voaindonesia.com/a/prabowo-ekonomi-ri-salah-arah-karena-salah-presiden-presiden-sebelum-jokowi/4874966.htmlÂ â€¦",prabowo ekonomi ri salah arah salah presiden presiden jokowi https www voaindonesia com a prabowo ekonomi ri salah arah salah presiden presiden jokowi html
positif,#JokowiMenangTotalDebat Terlihat jelas dalam debat terakhir Jokowi sangat menguasai jalannya debat dimana beliau tegaskan kepada lawanya tentang ekonomi makro dan mikro.,debat jokowi kuasa jalan debat mana beliau tegas lawa ekonomi makro mikro
negatif,Ketika seorang presiden menganggap mainan bocah sebagai solusi ekonomi nasional. -waktu anda habis jokowi- ðŸ¤£ðŸ¤­,presiden anggap main bocah solusi ekonomi nasional habis jokowi
netral,"Prabowo-Sandiaga Janji Tak Ambil Gaji, karena sudah Mampu Secara Ekonomi  https://batamtoday.com/home/read/128233/Prabowo-Sandiaga-Janji-Tak-Ambil-Gaji-karena-sudah-Mampu-Secara-EkonomiÂ â€¦",prabowo sandiaga janji ambil gaji ekonomi https batamtoday com home read prabowo sandiaga janji ambil gaji ekonomi
positif,#JokowiMenangTotalDebat Jokowi juga ingin memasukan Digital ekonomi melalui anak anak muda kita yang sudah mengembangkan teknologi dan digabungkan dengan hasil petani pertanian maupun perikanan untuk lebih luas menjual kepada konsumen.,jokowi pasu digital ekonomi anak anak muda kembang teknologi gabung hasil tani pe ani ikan luas jual konsumen
positif,"Terima kasih pak jokowi , pimpin kami satu periode lagi untuk INDONESIA BARTAMBAH MAJU ðŸ‘ #17AprilCoblosJokowiAmin  AKU CINTA INDONESIA. NKRI & PANCASILA harga mati. pic.twitter.com/QPA0vzhEeN",terima kasih jokowi pimpin periode indonesia ba ambah maju cinta indonesia nkri pancasila harga mati pic twitter com qpavzheen
negatif,Ngajarin ekonomi mikro dan makro ke raja bisnis..... Mereka lupa bahwa pak prabowo dan bang sandi pengusaha top,ngajarin ekonomi mikro makro raja bisnis lupa prabowo bang sandi usaha top
netral,"Namun, Prabowo justru menilai kondisi tersebut bukan kesalahan Jokowi sebagai Presiden saat ini, tapi kesalahan dari Presiden-Presiden sebelumnya.  Debat Capres: Prabowo Salahkan Presiden Sebelum Jokowi Terkait Kondisi Ekonomi  https://seruji.co.id/fokus/debat-capres-prabowo-salahkan-presiden-sebelum-jokowi-terkait-kondisi-ekonomi/Â â€¦ lewat @serujinews",prabowo nilai kondisi salah jokowi presiden salah presiden presiden debat capres prabowo salah presiden jokowi kait kondisi ekonomi https ruji co id fokus debat capres prabowo salah presiden jokowi kait kondisi ekonomi serujinews
positif,"Jokowi memperbaiki ekonomi Indonesia Raya, si sandi masih bergelut dengan ekonomi Bu Mia, beda kelas bangaatt...!",jokowi baik ekonomi indonesia raya si sandi gelut ekonomi bu mia beda kelas bangaatt
netral,"Ogah Ambil Gaji Presiden, Intip Harta Kekayaan Prabowo-Sandiaga & Besaran Penghasilan RI 1  http://jakarta.tribunnews.com/2019/04/14/ogah-ambil-gaji-presiden-intip-harta-kekayaan-prabowo-sandiaga-besaran-penghasilan-ri-1Â â€¦",ogah ambil gaji presiden intip ha a kaya prabowo sandiaga besar hasil ri http jaka a tribunnews com ogah ambil gaji presiden intip ha a kaya prabowo sandiaga besar hasil ri
netral,Prabowo-Sandi Janji Tak Ambil Gaji Jika Menang PilpresÂ 2019  https://www.geunta.com/2019/04/prabowo-sandi-janji-tak-ambil-gaji-jika-menang-pilpres-2019/Â â€¦ pic.twitter.com/OQRtNvsSjl,prabowo sandi janji ambil gaji menang pilpres https www geunta com prabowo sandi janji ambil gaji menang pilpres pic twitter com oq nvssjl
positif,"Esport lg buming sdh jd hobi dan dipertandingkan dibanyak negara bahkan Asian games dan Asean games dan itu pertanyaan yg millenial banget.  Lu bicara pemerataan kesejahteraan, calon 02 bagian dr 1 elite yg gaji karyawannya terkatung2  Jokowi sdh mempraktekkan pertanyaan 02",espo lg buming sdh jd hobi dipe andingkan banyak negara asi games asean games pe anyaan yg millenial banget lu bicara perata sejahtera calon dr elite yg gaji karyawannya katung jokowi sdh praktek pe anyaan
positif,"Secara garis besar, jokowi bertanya ekonomi digital, yg di dalamnya ada bisnis games, pembuat game dan pemain game. Klo lbh simplenya anda pasti sering buka playstore. Dan ekonomi digital lainnya masih banyak. Pak jokowi hnya mnyebut salah satunya saja",garis jokowi be anya ekonomi digital yg dalam bisnis games buat game main game klo lbh simplenya buka playstore ekonomi digital jokowi hnya mnyebut salah satu
negatif,santun kalo pertumbuhan ekonomi 5% buat apa ?,santun kalo pe umbuhan ekonomi
positif,Gak penting soal kita akan lapar. Yg penting bagaimana pemerintah menjamin harga bahan baku dippasaran .,gak lapar yg perintah jamin harga bahan baku dippasaran
negatif,"Gaji sepeser tak diambil, hanya ambil utk balik modal dan bayar hutang prabowo 6.9 T saja ya. + keuntungam sekian T.  Wooooii lelembut, kami rakyat Indonesia tidak sebodoh pendukungmu yg 7 juta umat itu.",gaji peser ambil ambil utk modal bayar hutang prabowo t ya keuntungam sekian t wooooii lelembut rakyat indonesia bodoh dukung yg juta umat
negatif,Debat ke 5: Prabowo Mau Belajar Ekonomi Ke Tiongkok! Lupa Kalau Kampret Benci China ______________________________________ (Author: Mora Sifudan)  Di Debat Capres-Cawapres malam ini Prabowo mengusulkan agar Indonesia...  https://www.facebook.com/achosagu/posts/10216071748285085Â â€¦,debat prabowo ajar ekonomi tiongkok lupa kampret benci china author mora sifudan debat capres cawapres malam prabowo usul indonesia https www facebook com achosagu posts
positif,"Jika mau harga bahan pokok terjangkau, tenaga medis & pasien di perbaiki, kesejahteraan guru honorer & mudah lapangan kerja, maka tusuk @prabowo @sandiuno It's time we have a president who is proud to stand up for people.  #02MenangDebat #TheGreatCampaignOfPrabowo",harga bahan pokok jangkau tenaga medis pasien baik sejahtera guru honorer mudah lapang kerja tusuk prabowo sandiuno it s time we have a president who is proud to stand up for people
positif,@kompascom Yaelaah. Pak Jokowi kalo mo nurunin tuh harga2 bs aja x. Semuanya kan butuh perhitungan yg cermat dan matang! GK asal2an. #01IndonesiaMaju #2019TetapJokowi,kompascom yaelaah jokowi kalo mo nurunin tuh harga bs aja x butuh hitung yg cermat matang gk asal
positif,Saya bukan mengatakan itu bukan ekonomi makro bos... Tapi jangan jadikan itu sebagai alasan... Nyatanya pertumbuhan perekonomian kita cuma 5% kok.. Terendah... Ya itu memang ekonomi makro... Nah jokowi sudah gagal nih mengelola ekonomi makro.. Ya kan?.. Sudah saat nya di gantiðŸ¤—,ekonomi makro bos jadi alas pe umbuhan ekonomi rendah ya ekonomi makro jokowi gagal nih kelola ekonomi makro ya nya ganti
netral,"Pada debat tadi malam, capres nomor urut 02 @prabowo sempat menuturkan jika perekonomian Indonesia salah arah, yang ditandai dengan mengalirnya kekayaan ke luar negeri. Temukan kesesuaian pernyataannya berikut ini!  https://bit.ly/2ZcoMADÂ  #CNNIndonesia pic.twitter.com/Tw7YbXHCOh",debat malam capres nomor urut prabowo ekonomi indonesia salah arah tanda alir kaya negeri temu sesuai nyata https bit ly zcomad pic twitter com twybxhcoh
negatif,Namanya aja wowo  menuding SBY dibalik semua kesalahan ekonomi Indonesia  https://bit.ly/2Kx8krrÂ  @jokowi @95_teguh #PrabowoSalahkanSBY Jangan di dengerlah si wowo itu,nama aja wowo tuding sby balik salah ekonomi indonesia https bit ly kxkrr jokowi teguh dengerlah si wowo
negatif,"Rakyat butuh fundamental ekonomi,yaitu pangan sandang dan papan,bukan digital model mobile legend.timeout for pencitraan.",rakyat butuh fundamental ekonomi pangan sandang papan digital model mobile legend timeout for citra
netral,"Ditanya Soal Esports Oleh Jokowi, Prabowo Minta Sandiaga yang Jawab - IDN Times: Jokowi bertanya soal ekonomi digital esport ke Prabowo  http://dlvr.it/R2mtw9Â  pic.twitter.com/E6RoYiF1pu",espo s jokowi prabowo sandiaga idn times jokowi be anya ekonomi digital espo prabowo http dlvr it rmtw pic twitter com eroyifpu
negatif,"Adegan iconik di debat ke 5 Prabowo : Ekonomi kita terpuruk karena ada 1% elite menguasai dan menikmati kekayaan bangsa ini Kyai MA : Apa Bpk termasuk 1% itu? Prabowo : Ya saya yg 1% itu, Oalah..selama ini prabowo lagi ngomongin dirinya sendiri toh, hehehe  #PrabowoSalahkanSBY",adegan iconik debat prabowo ekonomi puruk elite kuasa nikmat kaya bangsa kyai ma bpk prabowo ya yg oalah prabowo ngomongin hehehe
positif,"Saya percaya, krn @prabowo & @sandiuno tlh trbukti, mrk bisa hidup mapan & terhormat. Sangkin mapan & trhormatnya khidupn mrka, gaji pun tak brniat mrka ambil. Mrk jd capres bkn utk mncari kekayaan tp ingin msyarakt indonesia mapan & berhasil sprti mrk. #UASdifitnahKejiDanBrutal https://twitter.com/satriohendri/status/1117081027602554880Â â€¦",percaya krn prabowo sandiuno tlh trbukti mrk hidup mapan hormat sangkin mapan trhormatnya khidupn mrka gaji brniat mrka ambil mrk jd capres bkn utk mncari kaya tp msyarakt indonesia mapan hasil sp i mrk https twitter com satriohendri status
negatif,"Yg gak nyambung itu Jokowi dia gak nyimak masalah game online udah dijawab Sandiaga Uno dan disambung oleh Prabowo masalah game online itu cm hal kecil yg perlu sekarang ini adalah lapangan pekerjaan, meningkatkan kesejahteraan petani, dan menurunkan harga2, Lo tonton lg rekamany",yg gak nyambung jokowi gak nyimak game online udah sandiaga uno sambung prabowo game online cm yg lapang kerja tingkat sejahtera tani turun harga lo tonton lg rekamany
negatif,"Jangan main fitnah gtu dong,gausah diperlihatkan tangan kaki kalian semua para dungu bergetar takut mendengar pilihan guru kami untuk memilih pak prabowo. Kalian kan sudah didukung oleh ratusan org yg berpengaruh di indonesia,mengapa takut dengan seorang guru ngaji?? :) #saveUAS",main fitnah gtu gausah tangan kaki dungu getar takut dengar pilih guru pilih prabowo dukung ratus org yg pengaruh indonesia takut guru ngaji
positif,Janji manis para pilpres  â¤ï¸  PKS menang : bebas pajak kendaraan  Prabowo sandi menang : Gaji kerja untuk rakyat miskin  Jokowi menang : Pengangguran Digaji..  Bagaimana kalau mereka di menangkan semua ðŸ˜‚,janji manis pilpres pks menang bebas pajak kendara prabowo sandi menang gaji kerja rakyat miskin jokowi menang anggur gaji menang
positif,"Industri sekecil apapun bisa jadi penopang ekonomi,tidak terbengkalai tp industri kita masih blum bisa bersaing karna infrastruktur kita yg tertinggal jauh..makanya adaa prioritas dlm pembangunan tdk akan bisa sekaligus,semua bertahap n hasilnya akan baik..",industri apa topang ekonomi bengkalai tp industri blum saing karna infrastruktur yg te inggal adaa prioritas dlm bangun tdk be ahap n hasil
negatif,"Sayang sekali pak jokowi tidak membahas ekonomi digital, dan kegunaan multifungi dari e-ktp.",sayang jokowi bahas ekonomi digital guna multifungi e ktp
negatif,"Adegan iconik di debat ke 5 Prabowo : Ekonomi kita terpuruk karena ada 1% elite menguasai dan menikmati kekayaan bangsa ini Kyai MA : Apa Bapak termasuk 1% itu? Prabowo : Ya saya yg 1% itu, Oalah..selama ini prabowo lagi ngomongin dirinya sendiri toh, hehehe..",adegan iconik debat prabowo ekonomi puruk elite kuasa nikmat kaya bangsa kyai ma prabowo ya yg oalah prabowo ngomongin hehehe
negatif,Kata prabowo harga dari petani naik tapi harga ke konsumen murah?  Pertanyaan saya untuk menutupi kerugian negara didapat uang darimana?  Masak iya prinsip perdagangan beli mahal jual murah ðŸ˜… sama aja HOAKS wkwk gaada yang namanya pedagang beli mahal jual murah hehe,prabowo harga tani harga konsumen murah pe anyaan tutup rugi negara uang darimana masak iya prinsip dagang beli mahal jual murah aja hoaks wkwk gaada nama dagang beli mahal jual murah hehe
positif,"Soal bermanfaat utk negara apa ndak...urusan nanti yg penting kalian dpt kerja bagus, gaji gede dan pasti happy. Duit banyak hati happy pasti pikiran kebuka utk invest tuh duit jadi usaha padat karya (buka lap kerja) atau sekalian sedekah ke kaum marjinal.  Selamat berjuang",manfaat utk negara ndak urus yg dpt kerja bagus gaji gede happy duit hati happy pikir buka utk invest tuh duit usaha padat karya buka lap kerja sedekah kaum marjinal selamat juang
positif,"Bukti keikhlasan mengabdi demi Rakyat, Bangsa n Negara. Rela ""mewakafkan"" JIWA, RAGA, HARTA, PIKIRAN tanpa pamrih! Jgnkan yg lain2...rela tdk menerima GAJI sbg Presiden n Wapres. masyaaAllah...inilah PEMIMPIN yg ditunggu2 slm ini! InsyaaAllah berkah...Aamiin @prabowo @sandiuno",bukti ikhlas abdi rakyat bangsa n negara rela wakaf jiwa raga ha a pikir pamrih jgnkan yg rela tdk terima gaji sbg presiden n wapres masyaaallah pimpin yg tunggu slm insyaaallah berkah aamiin prabowo sandiuno
negatif,"kalo kata pak WOWO : Jokowi gak salah kok, yang salah tu SBY soalnya bikin arah ekonomi jd ikut salah #PrabowoSalahkanSBY",kalo wowo jokowi gak salah salah tu sby bikin arah ekonomi jd salah
negatif,Jokowi pinter ngeles... Sudah gagal bangun perekonomian pake alasan ekonomi makro.... Bro sekarang masalah nya pertumbuhan perekonomian terendah stuck di 5%... Kok pake alasan ekonomi makro... Emang jaman presiden sebelum nya bukan ekonomi makro.. #jokowipinterngeles,jokowi pinter ngeles gagal bangun ekonomi pake alas ekonomi makro bro nya pe umbuhan ekonomi rendah stuck pake alas ekonomi makro emang jaman presiden nya ekonomi makro
netral,"Jika Menang, Prabowo-Sandi Tak Akan Ambil Gaji Mereka  https://smartcitymakassar.com/2019/04/14/jika-menang-prabowo-sandi-tak-akan-ambil-gaji-mereka/Â â€¦",menang prabowo sandi ambil gaji https sma citymakassar com menang prabowo sandi ambil gaji
negatif,Strategi cebong gampang meneriaki orang lain hoax.. Bilang orang lain pesimis... Ketika prabowo sandi optimis.. Dia ngeles ekonomi makro lah. Apa lah... Zaman pak sby berarti bukan ekonomi makro ya?? Listrik murah kok... Harga2 sembako murah kok.. Pembangunan juga banyak..,strategi cebong gampang riak orang hoax bilang orang pesimis prabowo sandi optimis ngeles ekonomi makro zaman sby bera i ekonomi makro ya listrik murah harga sembako murah bangun
negatif,Pak Prabowo aja bilang kehancuran ekonomi gara2 pemimpin terdahulu. Ya hitung aja proporsional masing2 pemimpin terdahulu berkuasa berapa lama? 80% ya orde baru. Sekarang lu minta order baru lagi yg mimpin? Sehat kaw bambanggg?,prabowo aja bilang hancur ekonomi gara pimpin ya hitung aja proporsional pimpin kuasa ya orde lu order yg mimpin sehat kaw bambanggg
negatif,"udah miskin mental,miskin harta,miskin harga diri,miskin ilmu. mati ajalah kampret tuh wkwk",udah miskin mental miskin ha a miskin harga miskin ilmu mati aja kampret tuh wkwk
negatif,Namanya aja wowo  salah bowo malah mengatakan pembangunan ekonomi Indonesia salah arah tak terlepas dari andil presiden-presiden sebelum Jokowi  https://bit.ly/2GkwvoWÂ  @jokowi @tasyashee #PrabowoSalahkanSBY Jangan di dengerlah si wowo itu,nama aja wowo salah bowo bangun ekonomi indonesia salah arah lepas andil presiden presiden jokowi https bit ly gkwvow jokowi tasyashee dengerlah si wowo
positif,"Apa yg sudah dutarakan pak sandi sudah drasakan masyarakat, tp pak jkw ngeles , itu kebijakan beliau awal memerintah, ekonomi mikro makro sudah diutarakan oleh pak sandi, pak jkw nya saja yg tidak bisa nangkep",yg dutarakan sandi drasakan masyarakat tp jkw ngeles bijak beliau perintah ekonomi mikro makro utara sandi jkw nya yg nangkep
netral,"Sebelumnya, capres nomor urut 02 Prabowo Subianto menyebut kesalahan ekonomi di Indonesia saat ini terjadi bukan semata karena kesalahan calon presiden petahana Jokowi, tetapi juga salah dari Presiden-presiden terdahulu",capres nomor urut prabowo subianto sebut salah ekonomi indonesia salah calon presiden tahana jokowi salah presiden presiden
netral,"Perlu kita ingat, bahwa dasar negara kita ideologi kita Pancasaila, NKRI, Bhineka Tunggal Ika, UUD 1945, sudah final. Harga mati dan tidak bisa diganggu gugat. Jokowi",dasar negara ideologi pancasaila nkri bhineka tunggal ika uud final harga mati ganggu gugat jokowi
negatif,"Anak2 disuruh main, calon pekerja dikasih kartu, pengangguran dikasih gaji. TKA dikasih kerja. Mantull!",anak suruh main calon kerja kasih ka u anggur kasih gaji tka kasih kerja mantull
negatif,"Namanya aja wowo  salahkan Secara tidak langsung, Bowo menuding pemerintahan era SBY selama 10 tahun turut berdosa atas kondisi perekonomian  https://bit.ly/2GkwvoWÂ  @jokowi @fearlessdiva83 #PrabowoSalahkanSBY Jangan di dengerlah si wowo itu",nama aja wowo salah langsung bowo tuding perintah era sby dosa kondisi ekonomi https bit ly gkwvow jokowi fearlessdiva dengerlah si wowo
positif,"Tentu saja ada pengaruhnya gblk, game itu peluang bisnis, bisa juga menciptakan lapangan kerja. Di jepang, game itu jadi salah satu penggerak ekonominya. Negara bisa ambil pajak yg lumayan itu",pengaruh gblk game peluang bisnis cipta lapang kerja jepang game salah gerak ekonomi negara ambil pajak yg lumayan
netral,"Jokowi Serang Sandiaga: Ini Ekonomi Makro, Gak Bisa Berdasarkan Keluhan Ibu Ini Ibu Itu...  https://tmblr.co/Zwfxbc2hXWZFcÂ ",jokowi serang sandiaga ekonomi makro gak dasar keluh https tmblr co zwfxbchxwzfc
negatif,Tolol berlapis nih si MiraProjo....ekonomi bangsa kok lari ke game...hancur generasi klok model kayak gini..pantas indonesia ekonominya berkutet di 5 %...,tolol lap nih si miraprojo ekonomi bangsa lari game hancur generasi klok model kayak gin indonesia ekonomi berkutet
positif,"Jujur aja ya Pak Prabowo,. Bapak baru koar2 skrg Krn nyapres gak ngambil Gaji 1 rupiah pun. Gw dah kerja 10 Tahun lebih loh, dan gak pernah gw ambil gaji 1 Rupiah. Pak Jokowi tetap terbaik. #JokowiMenangTotalDebat #01ndonesiaMaju",jujur aja ya prabowo koar skrg krn nyapres gak ngambil gaji rupiah gw dah kerja loh gak gw ambil gaji rupiah jokowi baik
negatif,Bahas ekonomi sekelas 02 dan wakilnya .Gak faham antara ekonomi mikro . Yg ditemui sandi memang sdh jelas pandangan politik nya .Jadi sdh jelas pandangan nya . Padahal kalo bicara uang 100 ribu dapet aja udah nipu . TDL untuk rakyat miskin 450 watt tdk pernah naik . Sandi bohong,bahas ekonomi kelas wakil gak faham ekonomi mikro yg temu sandi sdh pandang politik nya sdh pandang nya kalo bicara uang ribu dapet aja udah nipu tdl rakyat miskin watt tdk sandi bohong
positif,"Ayo k TPS dan Tusuk Prabowo Sandi 02. makin kinclong d hati rakyat ..trus CAPRES N CAWAPRESX TDK AMBIL GAJINYAAAA LHO. D serahkn k  fakir miskin,, kaum duafa dll... Ingat d TPS tusuk02 yaaaaa...Debat pamugkas tadi d mengkan Paslon 02 Prabowo Sandi.  pic.twitter.com/k6eWGigKuL",ayo k tps tusuk prabowo sandi kinclong d hati rakyat trus capres n cawapresx tdk ambil gajinyaaaa lho d serahkn k fakir miskin kaum duafa dll d tps tusuk yaaaaa debat pamugkas d kan paslon prabowo sandi pic twitter com kewgigkul
negatif,"Rossi, percuma kamu cepat kalau negara kamu masih miskin, harga pangan mahal, listrik mahal, nyari kerja susah, dan keamanan kita hancur, ujar Presiden Italia Prabowo Musolini  https://twitter.com/MotoGP/status/1117152503752269830Â â€¦",rossi cepat negara miskin harga pangan mahal listrik mahal nyari kerja susah aman hancur presiden italia prabowo musolini https twitter com motogp status
netral,"Menangi Pilpres 2019, Prabowo-Sandi Tak Akan Ambil Gaji #TusukPrabowoSandi http://pantausatu.blogspot.com/2019/04/menangi-pilpres-2019-prabowo-sandi-tak.htmlÂ â€¦",tang pilpres prabowo sandi ambil gaji http pantausatu blogspot com tang pilpres prabowo sandi html
netral,Janji utk byr pajak menunjukan warga negara yg baik & taat hukum? http://www.suaraislam.co/astaga-pt-kn-milik-prabowo-subianto-tunggak-pajak-rp-26-miliar/Â â€¦,janji utk byr pajak tunjuk warga negara yg taat hukum http www suaraislam co astaga pt kn milik prabowo subianto tunggak pajak rp miliar
netral,"Berkat Jokowi, rakyat di pedalaman akhirnya punya akses ekonomi yg mudah #JokowiMenangTotalDebat",berkat jokowi rakyat dalam akses ekonomi yg mudah
positif,THE GREAT CLOSING STATEMENT FROM THE NEXT INDONESIAN LEADERS @Prabowo - @Sandiuno  Kami Berkomitmen Berdua Untuk Tidak Mengambil Gaji Se-Rupiah Pun Jika Kami Mendapatkan Amanah Ini Kami Akan...  https://www.facebook.com/LaluMuhammadBanuFebrianto/videos/2633920356642432/Â â€¦,the great closing statement from the next indonesian leaders prabowo sandiuno komitmen dua ambil gaji rupiah amanah https www facebook com lalumuhammadbanufebrianto videos
negatif,"Kartu jokowi, bukti jokowi gagal. Gagal menstabilkan harga cenderung mahal sehingga ada kartu sembako murah, gagal menyediakan lapangan kerja sehingga sehingga keluar kartu prakerja, gagal menyediakan pendidikan terjangkau sehingga muncul kartu pintar. 17april #TusukPrabowoSandi https://twitter.com/republikaonline/status/1117160536095903744Â â€¦",ka u jokowi bukti jokowi gagal gagal stabil harga cenderung mahal ka u sembako murah gagal sedia lapang kerja ka u prakerja gagal sedia didik jangkau muncul ka u pintar april https twitter com republikaonline status
netral,Prabowo-Sandi Ingin Pangkas Pajak Pekerja agar Tax Ratio Naik  #YourTurnBro  â¦@prabowoâ© â¦@sandiunoâ© https://www.cnnindonesia.com/ekonomi/20190413211609-532-386103/prabowo-sandi-ingin-pangkas-pajak-pekerja-agar-tax-ratio-naikÂ â€¦,prabowo sandi pangkas pajak kerja tax ratio prabowo sandiuno https www cnnindonesia com ekonomi prabowo sandi pangkas pajak kerja tax ratio
positif,1 rupiah pun gaji tidak akan diambil dan akan diberikan kepada negara dan rakyat miskin n dhuafa #prabowo_sandi Jangan ragu lagi,rupiah gaji ambil negara rakyat miskin n dhuafa ragu
positif,@Jokowi Yakin dan optimis Jokowi bisa menjawab persoalan rakyat terkait ekonomi dan kesejahteraan #JokowiMenangTotalDebat #JokowiMenangTotalDebat,jokowi optimis jokowi rakyat kait ekonomi sejahtera
netral,"Prabowo Sebut Kebijakan Ekonomi Salah Presiden Terdahulu, AHY: Kita Harus Objektif #indonesia #merahputih #Sunday #minggu https://merahputih.com/post/read/prabowo-sebut-kebijakan-ekonomi-salah-presiden-terdahulu-ahy-kita-harus-objektifÂ â€¦",prabowo bijak ekonomi salah presiden ahy objektif https merahputih com post read prabowo bijak ekonomi salah presiden ahy objektif
netral,"Jika Terpilih, Prabowo-Sandi Tak Akan Ambil Gaji  http://share.babe.news/s/mUcMddNÂ ",pilih prabowo sandi ambil gaji http share babe news s mucmddn
netral,"Jika Terpilih, Prabowo-Sandi Sumbangkan Gaji Buat Fakir Miskin -  http://rmolbanten.comÂ  http://www.rmolbanten.com/read/2019/04/14/7517/Jika-Terpilih,-Prabowo-Sandi-Sumbangkan-Gaji-Buat-Fakir-Miskin-#.XLLCafMzq-8.twitterÂ â€¦",pilih prabowo sandi sumbang gaji fakir miskin http rmolbanten com http www rmolbanten com read pilih prabowo sandi sumbang gaji fakir miskin xllcafmzq twitter
negatif,Uang dari pajak rakyat dihambur2kan ! 500 artis dibayar pake uang rakyat ! Sudah berbuat curang di Malaysia ! Rezim takut kalah !,uang pajak rakyat hambur a is bayar pake uang rakyat buat curang malaysia rezim takut kalah
negatif,"Seharusnya bahas EKONOMI, Lap pekerjaan.. Mosok sekelas preaident amatiran gtu, atau jngan jangan ðŸ¤”ðŸ¤”ðŸ¤” emang gag ngerti gag kelas lah ðŸ˜‚ðŸ˜‚",bahas ekonomi lap kerja mosok kelas preaident amatir gtu jngan emang gag nge i gag kelas
